,title,category
33,중동 여파로 현수막·공보물 값 줄줄이↑…광주 군소정당 어쩌나,Social
34,"이 대통령에 막말한 김미나 창원시의원, 결국 재판행",Social
35,"오세훈, 국가유산청장과 회동…세운4구역 관련 TF 곧 구성",Social
36,"안전공업 화재 계기…대전시, 산업단지 전수조사·제도 개선 착수",Social
37,무면허 만취 상태로 말소 BMW 운전하다 사고 낸 30대 불법체류 태국 여성 구속영장,Social
38,이원택 “지지율 떨어진 적 없다”…경선 ‘결선 변수’ 자신감,Social
39,호르무즈 발 묶인 韓실습선원 1명 추가 하선…175명 남았다,Social
40,[단독]16년 만에 한국 왔다 붙잡힌 외국인 카드 위조범,Social
41,"""여기가 밥값 제일 싸다"" 거지맵이 알려준 최저가 식당은…[오목조목]",Social
42,"신용한 “명태균 고소, 이번 주내 맞고소할 것”",Social
43,"이철우·김재원 예비후보, 감정선 자극하며 '극한대립'",Social
44,"한국서 20년 산 60대 중국인, 장기기증으로 4명에 새 생명",Social
45,신상공개 범죄자 80%가 무기징역…'범죄 예방' 실효성 의문,Social
46,"[단독] 전재수, 내달 2~3일 경 부산시장 출마선언",Social
47,"오세훈 ""서울 시민들과의 약속 지키는 것이 지금 나에게 가장 중요""",Social
48,"""기억이 없다"" 홍성 산불 방화 혐의 50대 긴급 체포해 영장",Social
49,"""방화범 있다"" 잇단 화재…한양여대 '발칵'",Social
50,여성 혼자 사는 집에 강도 4명 침입…“벨 누르고 들어가”,Social
51,'재개발 투자 미끼' 16억원 사기극..50대 항소심도 실형,Social
52,망한 투자에서 시작된 8년의 동행,Social
53,"20대 女틱토커 살해하고 시신유기, 징역40년…쌍방 항소",Social
54,"""엄선된 정보만 있다""…1만원 이하 식당 알려주는 '거지맵' 확산",Social
55,중동해역에 발묶인 선원들…전쟁 장기화에 하선 잇따라,Social
56,"한양여대 화재로 100여명 대피…경찰, 방화 용의자 조사",Social
57,용인 반도체 국가산단 이전 논란···여론은 “원안 추진이 답”,Social
58,"""너무 아파 눈물, 미치겠어""…숨진 유치원 교사가 남긴 메시지",Social
59,"오세훈 ""서울 지키기 최우선…당 변화 없인 보수 재건 어려워""",Social
60,미스대구 후보 사전합숙 성료…다음달 12일 '미스 대구' 뽑는다,Social
61,"이유 없는 두근거림 반복된다면 ... 부정맥, 언제 의심해 봐야 할까?",Social
62,"'국가폭력범죄 시효 배제', 이번엔 위헌 논란 넘을까",Social
63,"삼천당제약 ""먹는 당뇨·비만약 제네릭 美라이선스 계약""",Social
64,4월 건보료 추가되나... 작년엔 62%가 평균 20만원 더 냈다,Social
65,'국보급 레전드' 박찬호...시구 하나로 전한 깊은 메시지 [현장영상+],Social
66,"섬에어, 사천~김포 항공노선 정기 운항 시작…하루 왕복 4회",Social
67,"'쓰봉 사재기' 진화 나선 김성환 장관… ""부족할 땐 일반 봉투에 버리는 것도 허용""",Social
68,김진태 “획기적 도약” 강원 신청사 착공식…우상호·정의당 반발,Social
69,"기후에너지부 장관 ""종량제 봉투 부족시 일반 봉투 사용 허용""",Social
70,전처와 통화했다고 죽도로 친구 집 부순 50대,Social
71,"김종철 방미통위원장, YTN 파행 사태에 ""법 취지 존중돼야, 유감""",Social
72,"서울시 ""성폭력 혐의 성동문화원장 재임용 깊은 유감""",Social
73,종합특검 “‘김건희 수사무마 의혹’ 관련 검찰 수사팀 조사”,Social
74,‘37위에 0-4 완패’ 월드컵 어쩌나…JTBC-지상파 협상 또 결렬,Social
75,대전 남부순환고속도로 구봉터널서 5중 추돌사고…6명 부상,Social
76,경찰 아내가 분양권 사기로 16억 '꿀꺽'…2심도 징역 5년,Social
77,"'성범죄 전과' 황석희 ""무해한 사람 아냐, 실망할 날 올 것""…재조명",Social
78,"'1억 공천 헌금' 강선우·김경 사건, 중앙지법 형사1단독 배당",Social
79,오세훈-허민 지난주 회동…·종묘·세운4구역 갈등 풀리나,Social
80,강남 아파트 등 247채 굴리며 세금 빼돌려… 임대업자 세무조사,Social
81,입학식 날 후배 폭행 촬영해 SNS 올린 중학생들 송치,Social
82,평택 물류창고 ‘100억 추가’ 대기업 갑질 도마…논란 확산,Social
83,“쯔양 먹고 토하는거 봐” 거짓제보 동창 벌금 700만 원 [자막뉴스],Social
84,대전남부순환고속도로서 승용차와 중학교 체험학습버스 추돌…학생 등 6명 이송,Social
85,"""수준 낮은 토론 지켜봐야 하는 광주·전남 시민 불행""",Social
86,"[속보] 새벽 3시 여성 홀로 사는 집에 ‘딩동’, 문 여니 20대 떼강도 닥쳤다",Social
87,'연분홍 물결 시작' 여의도 윤중로 벚꽃 개화 [뉴시스Pic],Social
88,43년 일터서 숨진 금형 베테랑…“손녀는 아직 퇴근 안 한 걸로 알아요”,Social
89,신정훈 단일화 효과 통할까…민주당 특별시장 경선 판세 '출렁',Social
90,[단독]가족 돌보느라 지각·결석·결근···하루 8시간 ‘독박 돌봄’ 시달리는 청소년·청년들,Social
91,기후부 장관 “쓰레기봉투 부족시 일반 봉투에 버리게 허용”…마트·편의점 일부는 구매 제한,Social
92,“원인 모를 발달장애” 실마리 풀었다…유전자 ‘읽기 오류’가 범인,Social
93,"행정수도특별법 또다시 뒷순위, 세종시민 기대에 '찬물'",Social
94,"""결혼식에 2천만 원 사용""…줄어들던 결혼 비용 다시 올랐다",Social
95,유명 번역가 황석희 성범죄 전과 의혹 제기에 “변호사와 검토 진행 중” 법적 대응 예고,Social
96,"종합특검, 비상계엄 당시 '선관위 체포조' 의혹 본격 수사",Social
97,"종합특검 ""'김건희 수사무마' 당시 검찰 수사팀 조사""",Social
98,싼 식당 정보 공유 ‘거지맵’ 눈길…지갑 얇은 청년들 몰려,Social
99,"경찰, '이진숙 모욕 혐의' 최민희 불송치",Social
100,"'쯔양, 먹방 하고 온 날 토한 흔적 목격'…유튜버 주작감별사에 허위제보한 대학 동창 벌금 700만원 약식명령",Social
101,"""재개발 아파트 투자해""…분양권 미끼로 16억 사기 50대",Social
102,"진성준 ""부동산 보유세 인상, 7월 세제 개편 포함 가능성 상당""",Social
103,"""위기의 대구·경북, 정치·경제 혁신으로 신경제권 창조할 때다""",Social
104,"전국 최초 '1도 1국립대'…""세계가 주목하는 대학으로""",Social
105,"""최저임금 노동자 10명 중 9명, '생활비 부족'·'월 250만 원'은 받아야""",Social
106,"'전처와 통화' 분개, 죽도 휘둘러 친구 집 부순 50대 '징역형'",Social
107,민주 부산시장 경선 일정 확정…전재수·이재성 2파전,Social
108,[속보] 39.8도 고열에도 출근… 결국 사망한 20대 유치원교사,Social
109,국민의힘 창원·의령 공천 경쟁 진흙탕 싸움,Social
110,기름값 저렴한 주유소서 줄 서있다 끼어든 차량에 화가 나 흉기 꺼내 위협한 30대 구속영장,Social
111,"""쯔양 '먹토' 봤다"" 허위 제보한 대학 동창…벌금 700만 원",Social
112,[이슈플러스]제네릭 쏟아져도 가격 그대로…“경쟁 없는 시스템 바꿔야”,Social
113,[이슈플러스]약가 인하에 중소·중견제약사 R&D·고용 우려 확산,Social
114,"탈 많은 울진 스카이레일 또 멈췄다…""정기 안전검사 통과 못해""",Social
115,"“우울증 힘들어 술 먹다가…” 감형 노린 살인미수범, 항소 기각",Social
116,"1원 단위 택시비 정산, 할인 공구... 치솟는 물가에 '체리슈머'된 대학생들",Social
117,“예식장 진작 잡을걸”…결혼비용 다시 상승세 전환,Social
118,'춘천·강릉·삼척·원주 멀티캠퍼스 구축' 강원대 통합 비전 선포,Social
119,"경찰, '이진숙 모욕 혐의' 최민희 무혐의 불송치",Social
120,"""코스식 식대 1인 약 12만원""…결혼식 비용 다시 뛰었다",Social
121,차량 급정거 시비 붙자…쇠파이프 들어 머리 공격한 60대,Social
122,“건물 내 방화범 있다” 한양여대 화재 100여명 대피…용의자 조사중,Social
123,"아동권리보장원, '물량' 발언에 ""사과…조직 쇄신할 것""",Social
124,"오세훈 ""민주당만 아니라면 어떤 정파·인물이건 통합정치 필요""",Social
125,종량제 봉투 대란에…기후장관 “최악 땐 일반봉투 배출 허용”,Social
126,'무료' 국립중앙박물관 끝…19년 만에 유료화,Social
127,"전북도, 방산 첨단복합소재 밸류체인 구축…16개 기관 뭉쳐",Social
128,"종합특검 ""노상원 '수사2단' 범죄단체조직죄 입건 예정""(종합)",Social
129,"화성시, 내달 개인택시 63대 신규 면허 발급 신청 접수",Social
130,여성 혼자 사는 집에 들이닥친 4인조 강도…이웃이 살렸다,Social
131,팹리스 기업 대구로 집결…실증부터 상용화까지 반도체 생태계 구축,Social
132,대한항공 부산테크센터에 2000억 투자…무인기 신규공장 추진,Social
133,20대 여성 틱토커 살해 후 유기한 50대 1심 '징역 40년' 불복…쌍방 항소,Social
134,25t 트럭 맥주병 와르르…유리 파편 흩어져 도로 마비,Social
135,“흙 만지고 꽃 심고”…도심 속 숲에서 자라는 아이들,Social
136,"경찰, 국힘 조정훈 '공천 헌금 의혹' 내사… 마포갑 구의원 소환 조사",Social
137,퇴계선생 마지막 귀향길 재현행사 개막,Social
138,"가로등 박은 30대, 차에선 '주사기 145개'…프로포폴 준 동물병원 원장 구속",Social
139,고유가 속 주유소 새치기 시비에 흉기 위협까지,Social
140,"김부겸 등판, 보수텃밭 대구출렁…""국힘버려야 보수산다""",Social
141,"'이태원 막말' 김미나 의원, 李대통령 명예훼손 혐의로 재판행",Social
142,"송영기 경남교육감 예비후보, 시민연대 진보교육감 단일후보 확정",Social
143,"“아파서 눈물”…39도 고열에도 출근, 유치원 교사 끝내 사망",Social
144,이철우·김재원 '지역 유력인사 지지선언 받기' 경쟁 치열,Social
145,"""188억 분담했는데 단독등기""…마포구, 은평구 상대 소유권 소송(종합)",Social
146,"불 껐는데 또 불났다…""100명 긴급대피"" 한양여대 발칵",Social
147,"'대기업男'과 결혼하고 싶어서…""임신했어"" 거짓말에 3억 빚도 숨긴 여성",Social
148,"은평구, 마포구의 소송 제기에 ""유감…강경 대응할 것""",Social
149,김부겸 출마에 요동치는 대구 민심… '미워도 다시 한번' 불문율 깨지나,Social
150,불광사 분쟁을 넘어 한국 불교 '승가 우월주의'를 묻다,Social
151,HMM 본사 부산 이전안 이사회 통과…노조 '주총 저지' 전면전,Social
152,"""신도회장이 아니라 법회장... 불광사 문제는 구조의 충돌""",Social
153,반년 넘게 이어지는 김병기 수사···‘결정타 부족’ 때문이지만 ‘봐주기 수사’ 비판도 계속,Social
154,한양여대서 3시간 간격 방화 추정 화재···용의자 학교 관계자에 붙잡혀,Social
155,[속보]“종량제 봉투 부족시에는 ‘일반 봉투’에 배출 허용” 기후부 장관 曰,Social
156,"""독감 걸려 죄송합니다""…사망한 사립유치원 교사의 카톡",Social
157,"민주 충북지사 경선, 너도나도 “송기섭은 우리 편”…‘덕담도 못 하나’",Social
158,"직원 숨졌는데 ""유족이고 XX""…""너무 위험"" 묵살한 정체 [취재파일]",Social
159,대전교육감 선거 ‘진보 단일후보’에 성광진 선출,Social
160,경찰 아내가 분양권 사기로 16억 꿀꺽…항소심도 징역 5년 선고,Social
161,"""쯔양, 먹고 토했다"" 허위 제보한 대학 동창에 벌금형",Social
162,"""버스 잘못 타 짜증""…오리역 '묻지마 칼부림' 30대, 검찰 송치",Social
163,“이게 리조트지 감옥이냐” 조감도 논란에…법무부 “채택 안돼” [팩트체크],Social
164,"간병인들이 환자 때리고 입에 테이프 붙이는 등 학대…'관리 소홀' 요양병원장, 벌금형",Social
165,[단독] 홍대 인근 인형뽑기 가게서 1천6백만 원 훔친 10대 일당 검거,Social
166,"'컷오프' 민주 여수시의원 후보들, 전남도당에 재검토 촉구",Social
167,"종합특검 ""'김건희 수사 무마' 수사팀 조사…추가 특검보 추천""",Social
168,"김미나 창원시의원, 또 법정 선다…李대통령·김현지 겨냥 막말 논란",Social
169,남해 시금치 ‘보물초’ 가격 폭락… 농민 ‘한숨’,Social
170,"서울시 ""與 거짓선동 도 넘어…민간 유람선 사고를 한강버스 사고로 둔갑""",Social
171,"쯔양 ‘먹토’ 허위 제보 대학동창, ‘벌금 7백만 원’",Social
172,"[6·3대전] 허태정·장철민·장종태 ""이장우 상대 적임자"" 강조",Social
173,"한양여대 화재로 100명 대피…경찰, 방화 용의자 붙잡아 조사",Social
174,"술 취해 지인에게 흉기 휘두른 60대, 2심도 징역 6년",Social
175,"대북 송금 이슈 삼킨 '박상용 녹취록'…박 검사, 인스타까지 개설하며 '맞불'",Social
176,“봉투값 안 오른다” 김성환 장관... 품귀 시 ‘일반 봉투 사용’ 한시 허용,Social
177,국내 최초 '1도 1국립대학' 출범...강원대 통합 비전 선포식 개최,Social
178,"""제 차량 바퀴·휠이 통째로 사라졌어요""...경찰, 절도 용의자 2명 추적",Social
179,한양여대 두 차례 불로 100명 대피… 20대 여성 현행범 체포,Social
180,"황석희 번역가, 성폭력 전과 의혹 확산에… “변호사와 관련 사안 검토 중”",Social
181,[단독] 강남 압구정 골목서 80대 운전자 차량 돌진…4명 부상,Social
182,제조 심장 구미의 부활…전자산업 넘어 'K방산 수도' 대변신,Social
183,"특검, '김건희 무혐의' 수사팀 조사…'선관위 장악' 범죄단체조직죄 입건",Social
184,"""너무 아파 눈물, 미치겠어""…부천 유치원교사 사망 전 메시지",Social
185,수능 절대평가 논의 시작되나…4월부터 '대입개편 협의체' 가동,Social
186,"[자막뉴스] 190cm 헤비급에도 ""XX 왜 찍어""…중2 담배 '길빵' 계도했다 '봉변'",Social
187,'이진숙 모욕 혐의' 최민희 의원 무혐의 불송치,Social
188,강원도 신청사 착공식… 정치적 공방은 여전,Social
189,차량 2대 들이받고 뺑소니…20대 불법체류 베트남인 구속,Social
190,"기후부 장관 “쓰레기 봉투, 최악의 상황 땐 일반 봉투 허용”",Social
191,"구미, 반도체 소재·부품 전략기지로…남부권 혁신벨트 핵심축 도약",Social
192,울산 도시철도 시대를 열어갈 1호선 트램 사업 본궤도,Social
193,"이정현, 전남·광주 통합특별시장 출마 시사…국힘 ""삼고초려로 모셔야""",Social
194,“교수 2명에게 가스라이팅”…유서 남긴 전남대 대학원생 산재 인정됐다,Social
195,"중학생 훈계했더니 돌아온 건 '욕설 세례'…""대체 무슨 일""",Social
196,"""대기업 남편, 다른 여자한테 갈까 봐""...'임신' 속여 결혼한 아내, 3억 빚까지 [이런 法]",Social
197,컷오프 반발·당원 명부 유출…민주당 여수을 논란 '일파만파',Social
198,“경제 상황이 어려워서”…동물병원서 프로포폴 빼돌려 판매한 병원장 구속,Social
199,심신미약 불인정 판례 될까…술 먹고 흉기 휘두른 60대 판결 보니,Social
200,[단독] 리딩방·보복대행 범죄 한통속?…배민은 ‘10만원’ 보상 제안,Social
201,"""주말 이틀 1만5000명 몰렸다""…대전 오월드 야간개장 흥행",Social
202,사회복지사 열에 넷 “이직 의향”…저임금·업무 과중 탓,Social
203,"“무려 247채 굴리며 탈세?”…국세청, 악질 임대업자 세무조사",Social
204,"서울 한양여대서 2차례 화재 발생⋯경찰, 20대 여성 용의자 신병 확보",Social
205,"종합특검 ""계엄군 부정선거 수사, 범죄단체조직죄로 입건""",Social
206,"대구시, 취득세 전면 감면…파격 세제지원 시행",Social
207,"""세계가 주목하는 대학으로 도약""…강원대 통합 비전 선포",Social
208,"프로포폴 취한 운전자 붙잡아 '어디서 구했어?' 추궁하니‥""동물병원""",Social
209,‘공금 9억 횡령’ 부산시의사회 경리직원 징역 4년,Social
210,"이원택 “프로야구 열기, 전북도민도 누리게”…11구단·돔구장으로 ‘지역 소비 묶는다’",Social
211,"경찰, ‘마약왕’ 박왕열 고강도 조사… 마약 유통 경로에 집중",Social
212,"""술 취했다고 감형 안 돼""…살인미수 60대 실형",Social
213,고부에서 첫 횃불을 들다,Social
214,‘약물운전’ 30대 차 안엔 프로포폴 16병…동물병원장이 빼돌렸다,Social
215,"'한국 영주권자'로 18년 산 중국인, 4명에 장기 선사하고 하늘로…",Social
216,"한강 산책하는데...""눈치껏 비켜"" 20명 러닝 크루 길 막고 우르르",Social
217,이러니 결혼 하겠어?…“서울 강남 3466만원 가장 비싸” 결혼 비용 다시 ‘껑충’,Social
218,"'자식 나눈 사이?'…김미나, 李 대통령 명예훼손 혐의 기소",Social
219,누명 쓴 부녀 '청산가리 막걸리 사건' 재수사 속도내나,Social
220,"GM, 철수설 접고 韓 8800억 투자…유정복 인천시장 '감사서한' 발송",Social
221,민주당 충북지사 후보들 결선 앞두고 '낙천자 끌어안기',Social
222,"논산딸기축제 역대급 흥행…""딸기엑스포 성공 보인다""",Social
223,"결혼식 비용, 대관료·식대 인상에 평균 2139만원",Social
224,"서울 맞아? “순댓국 3500원, 김치찌개 3000원”…돈 아껴주는 ‘거지맵’ 뭐길래",Social
225,"“김현지, 자식 나눈 사이?” 김미나 창원시의원 불구속 기소",Social
226,"'재개발 투자 미끼' 16억 가로챈 경찰관 아내, 2심도 징역 5년",Social
227,"울주군·영남알프스케이블카, 케이블카 '제동'에 행정심판 청구",Social
228,"서울시 ""민주당, 민간유람선 사고 '한강버스'로 거짓선동…법적 대응 검토""",Social
229,"카페서 칭얼댄다고 1살 딸 '퍽퍽'…40대 친모 ""훈육 차원"" 주장",Social
230,"“밥 한 끼 해요”가 부담되는 시대, 전주 골목 ‘3000원 김치찌개’가 선사하는 ‘환대’",Social
231,기름값 2000원 육박에 쓰레기봉투 사재기까지…곳곳 '한숨',Social
232,"임실군, KBS 전국노래자랑 녹화…""3천명 몰리며 흥행""",Social
233,공금 9억원 넘게 횡령한 부산시의사회 경리 징역형,Social
234,"YTN '저널리즘 책무위' 가동… 노조 ""유진 강점기 합리화 명분""",Social
235,"""대구시장 선거 시당 중심돼야"" 이인선, 장동혁 대표에 요청",Social
236,"서울시 “與, 민간유람선 사고 ‘한강버스’로 둔갑…정정·사과 없을시 법적 대응”",Social
237,"“술 먹고 그랬다” 주취 감경 노린 60대 살인미수범, 법원의 판단은?",Social
238,"에어차이나, 베이징-평양 직항노선 6년만에 재개",Social
239,"""쓰레기 봉투 부족 심각해지면 일반 봉투 허용""",Social
240,"“쯔양 먹고 토하는 것 봤다” 허위 제보 대학 동창, 벌금 700만원",Social
241,"서울반도체고, 내년 3월 마이스터고로 개교… 반도체 인재 키운다",Social
242,성폭력 논란 ‘성동문화원장’ 인사에 정원오 ‘불똥’···서울시 “책임전가 하지마라”,Social
243,"""쯔양 먹토 목격""…거짓 제보한 대학 동창, 벌금 700만원 약식명령",Social
244,종합특검 '김건희 수사 무마' 정조준…'계엄 비선 조직' 입건 예고,Social
245,"“이재명·김현지, 자식 나눈 사이?” 김미나 결국 법정에",Social
246,"""간병인 환자 학대엔 요양병원장도 책임""…'관리 소홀' 벌금형",Social
247,차량 급정거 항의 60대 시비 끝 쇠파이프 휘둘러 현행범 체포,Social
248,43년 평생 일터에서 숨진 '손녀딸 바보 할아버지',Social
249,"[단독] 기름때에 불 붙었는데 ""물 뿌려라""…대전 공장 3년 전 화재 '황당 권고'",Social
250,뺑소니 집유 기간인데 또…대낮 음주 사고 70대 법정구속,Social
251,한반도 땅덩어리 넓어졌다…지난해 축구장 175개만큼 매립,Social
252,"""4000원에 밥 해결"" 점심시간 '거지맵'부터 켠다...비싼 외식비에 인기",Social
253,"경기도교육청, 10년 만에 고입에 중 1학년 성적 반영키로",Social
254,"부산글로벌법 법사위 불상정…박형준 ""시민열망에 찬물""",Social
255,종합특검 “‘김건희 사건무마’ 수사팀 조사…추가 특검보 추천”,Social
256,"""풍성흑발·꼿꼿허리”…‘94세’ 이길여 회장 '동안 외모' 근황",Social
257,"""내 전처와 왜 통화해""…죽도로 집 때려 부순 50대, 친구 용서로 실형 모면",Social
258,"‘교수 갑질’ 산재 인정됐다···대학원생, 휴일·심야 업무에 심부름 시달리다 목숨 끊어",Social
259,"익산시 ""종량제봉투 가격 인상 없다""…1인당 5매 구매 제한",Social
260,연말정산 지나니 건보료 정산…4월 내 월급은 어떻게?,Social
261,"2천 원 앞둔 휘발윳값…""차 몰기 겁나요""",Social
262,"경찰, '조정훈 국힘 의원 공천헌금 의혹' 수사…측근 줄소환",Social
263,"[현장] ""응급실 가는 길 맞나"" 조선대병원 현황도로 관리 미흡",Social
264,"수영, 이제 집 근처에서…영등포구, 수영장 9곳까지 확대한다[서울25]",Social
265,고유가 속 주유소에 늘어선 차량...새치기 시비에 흉기까지,Social
266,"경찰, 장세일 영광군수 딸 금품수수 의혹 수사(종합)",Social
267,"기후부 장관 ""쓰레기 종량제 봉투 부족하면 일반 봉투에 버리게 할 것""",Social
268,"오세훈, 광화문 '감사의정원' 석재 기증국 외교단 초청",Social
269,"송전탑건설백지화 전북대책위 ""새만금-신서산 송전선 입지선정 중단하라""",Social
270,"“대구, 익숙한 정치와 결별할 시간”…김부겸의 승부수",Social
271,"이근안을 조사한 사람입니다, 그에게 들은 충격적인 말",Social
272,'응시자가 채점하는 격' 환경영향평가부터 고쳐야,Social
273,"한양여대서 하루에 2번 화재, 100여 명 대피…방화 가능성",Social
274,"결선 앞둔 민주 충북지사 후보 경선, 합종연횡 본격화",Social
275,"하이그라운드 '500만 달러' 차용증, 감사 직전 급조 정황",Social
276,뇌물 혐의·‘처녀 수입’·군민 욕설…김희수 진도군수 해외 출장도 논란,Social
277,국민의힘 영월 일부 책임당원 등 공정한 군수 후보 경선 요구 기자회견,Social
278,"경찰, '50억대 닭고기 납품 사기' 4명 입건…도계업체 압수수색",Social
279,"'李 대통령 막말' 김미나 창원시 의원, 불구속 기소",Social
280,"""부산 사하 해상풍력, 가덕신공항 항공기와 충돌위험""",Social
281,벚꽃 절정인데… 동촌유원지 선착장 '토사 포대·데크 잔해' 방치,Social
282,‘원주민 후손’ 아니면 가입 불가…어촌계 정관에 인권위 “차별”,Social
283,"고대의료원, 동탄에 '고대병원’ 건립…""2035년 ‘AI 네이티브’ 미래병원 선보일 것""",Social
284,"[단독] '채용연계' 인턴 25% 돌연 종료... 대웅 ""진로 모색"" vs 문건 '부당해고 소지'",Social
285,주유 대란 와중 '새치기' 차주에 흉기 위협… 30대 남성 체포,Social
286,"""민간유람선 사고를 한강버스로 둔갑""… 서울시 ""법적 대응 검토""",Social
287,경기 남양주에 1000병상 중앙대 병원 유치,Social
288,“확률상 불가능” 복권 잘 안 사던 수학 강사…1등 ‘5억’ 당첨됐다,Social
289,달리는 트럭서 맥주병 수백개 '와르르'…1시간 넘게 정체,Social
290,“종량제봉투 부족하면 일반 봉투 허용할 것”,Social
291,"한양여대 화재에 100여명 대피…경찰, 용의자 신병 확보",Social
292,게임 아이템 2000만 원 상당 빼돌린 40대 실형,Social
293,"'이 대통령·김현지, 자식 나눈 사이?' 막말 김미나 창원시의원 재판행",Social
294,"기후장관 ""쓰레기 봉투 부족 시 일반 봉투에 버리게 허용""",Social
295,'미라' 된 동거녀 곁에서 3년6개월 지낸 30대…1심 징역 27년,Social
296,"지상파 3사 vs JTBC, 월드컵 중계권 협상 불발…“실무협상 지속”",Social
297,"강원대 ""세계 100위권으로 도약""… 5대 통합비전 선포",Social
298,"김천시, 연화지 벚꽃축제 '개막식·바가지요금·안전사고' 없앤다",Social
299,"주유소 새치기에 '흉기 위협'…경찰, 구속영장 신청",Social
300,황경아 광주 남구청장 단일후보 '원팀 결집' 행보 본격화,Social
301,"종합특검, '부정선거 수사2단' 수사 착수…범죄단체조직죄 적용 예고",Social
302,“인터넷 방송·게임에 10억 탕진”…의사단체 회비 빼돌린 경리 징역 4년,Social
303,"박형준, 부산 특별법 법사위 불상정에 “민주당이 발목 잡아”",Social
304,"돌덩이 위에 올라 가 있는 자동차, 바퀴·휠 통째로 도둑맞아…경찰, 용의자 2명 추적",Social
305,술 취해 지인에 흉기 휘두른 60대…항소심도 징역 6년,Social
306,"""술 취했다는 이유로 감형 안 돼""…지인 찌른 60대 징역 6년",Social
307,"""혼혈아동 보호시설서 성폭력·학대""…3기 진화위에 진실규명 신청",Social
308,"종합특검, 도이치 수사팀 관련자 소환…특검보 후보 2명 추천",Social
309,"서울시 “민주당, 유람선 사고를 ‘한강버스 사고’로 거짓 선동”",Social
310,"'쓰봉'만 문제?...""겨울옷 맡기는 손님 많은데"" 세탁소도 '골머리'",Social
311,"민형배 캠프 ""광주~나주 광역철도, 소모적 공방 멈춰야""",Social
312,"""부산시민과의 전쟁 각오해야"" 박형준, 글로벌허브법 놓고 민주당 직격",Social
313,전남·광주 통합 후 '25조 금고' 수의계약 방식 전환될듯,Social
314,'고문기술자' 이근안 표창 사라지나…고문 가담 경찰관 포상 재검토,Social
315,"김정관, 하루만에 214원 올린 주유소 불시에 찾았다",Social
316,"에듀테크 교사 개인정보 유출, 법적 분쟁으로 번진다",Social
317,"이동한, “부적격 후보, 국힘 경선 참여 안된다”",Social
318,"""미래 성장 동력 부유식 해상풍력, 국가 전략 필요""",Social
319,진해군항제 무료 셔틀버스에 관광객들 박수갈채,Social
